Rank,Country,Happiness Score
1,Finland,95.67
2,Denmark,95.31
3,Iceland,95.29
4,Israel,95.2
5,Netherlands,95.07
6,Sweden,94.65
7,Norway,94.62
8,Switzerland,94.35
9,Luxembourg,94.61
10,New Zealand,94.14
11,Austria,93.12
12,Australia,92.79
13,Canada,92.69
14,Ireland,92.65
15,United States,92.53
16,Germany,91.38
17,Belgium,91.3
18,Czech Republic,90.61
19,United Kingdom,90.08
20,Lithuania,89.65
21,France,89.05
22,Slovenia,89.01
23,Costa Rica,88.4
24,Romania,87.77
25,Singapore,87.74
26,United Arab Emirates,87.43
27,Taiwan,87.28
28,Uruguay,86.95
29,Slovakia,86.68
30,Saudi Arabia,86.01
31,Estonia,85.72
32,Spain,85.29
33,Italy,84.97
35,Chile,84.53
36,Mexico,84.52
37,Malta,84.02
38,Panama,83.95
39,Poland,83.89
40,Nicaragua,83.86
41,Latvia,83.85
42,Bahrain,83.48
43,Guatemala,83.47
44,Kazakhstan,83.42
45,Serbia,83.22
46,Cyprus,83.11
47,Japan,82.86
48,Croatia,82.78
49,Brazil,82.4
50,El Salvador,82.32
51,Hungary,82.26
52,Argentina,82.25
53,Honduras,82.06
54,Uzbekistan,82.02
55,Malaysia,82.01
56,Portugal,81.98
57,South Korea,81.52
58,Greece,81.42
59,Mauritius,81.3
60,Thailand,81.26
61,Mongolia,81.23
62,Kyrgyzstan,81.19
63,Moldova,81.11
64,China,80.93
65,Vietnam,80.88
66,Paraguay,80.2
67,Montenegro,79.4
68,Jamaica,79.19
69,Bolivia,78.45
70,Russia,78.4
71,Bosnia and Herzegovina,78.3
72,Colombia,78.2
73,Dominican Republic,78.15
74,Ecuador,77.79
75,Peru,77.55
76,Philippines,77.51
77,Bulgaria,77.31
78,Nepal,76.81
79,Armenia,76.4
80,Tajikistan,76.33
81,Algeria,76.31
82,Hong Kong,76.26
83,Albania,75.56
84,Indonesia,75.5
85,South Africa,74.92
86,Republic of the Congo,74.43
87,North Macedonia,74.11
88,Venezuela,73.9
89,Laos,73.77
90,Georgia,73.7
91,Guinea,73.63
92,Ukraine,73.37
93,Ivory Coast,73.27
94,Gabon,73.26
95,Nigeria,73.23
96,Cameroon,73.14
97,Mozambique,73.03
98,Iraq,72.95
99,Palestine,72.78
100,Morocco,72.73
101,Iran,72.65
102,Senegal,72.45
103,Mauritania,71.59
104,Burkina Faso,71.39
105,Namibia,71.34
106,Turkey,71.34
107,Ghana,70.94
108,Pakistan,70.9
109,Niger,70.89
110,Tunisia,70.39
111,Kenya,70.08
112,Sri Lanka,70.02
113,Uganda,69.88
114,Chad,69.59
115,Cambodia,69.45
116,Benin,69.19
117,Myanmar,68.84
118,Bangladesh,68.55
119,Gambia,68.52
120,Mali,68.23
121,Egypt,67.93
122,Togo,67.72
123,Jordan,67.67
124,Ethiopia,67.31
125,Liberia,67
126,India,66.53
127,Madagascar,66.14
128,Zambia,66.4
129,Tanzania,65.56
130,Comoros,64.52
131,Malawi,64.45
132,Botswana,63.64
133,DR Congo,63.45
134,Zimbabwe,63.21
135,Sierra Leone,63.09
136,Lebanon,63.02
137,Afghanistan,62.66
138,Yemen,62.45
139,Rwanda,62.34
140,Azerbaijan,62.22
141,Belarus,62.12
142,Libya,61.86
143,Turkmenistan,61.07
144,Kuwait,60.64
145,Lesotho,60.12
146,Eswatini,59.95
