object_id,is_highlight,is_timeline_work,department,accessionyear,object_name,title,object_begin_date,object_end_date,artist_display_name_1,artist_role_1,artist_prefix_1,artist_nationality_1,artist_begin_date_1,artist_end_date_1,artist_gender_1,artist_display_name_2,artist_role_2,artist_prefix_2,artist_nationality_2,artist_begin_date_2,artist_end_date_2,artist_gender_2,culture,period,dynasty,reign,portfolio,medium,geography_type,city,state,county,country,region,subregion,locus,excavation,river,classification,repository,century,century_start_year,century_end_year,department_id,time_period_id
466,False,False,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,1800,1883,Louis Benjamin Huber Defeuille,Maker, , ,,9999,,,,,,,,,,,,,,Ivory,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
467,False,False,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Jacques Thouron,Artist,After, ,,9999,,Weyller,Artist, , ,,9999,,,,,,,Enamel,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
468,False,False,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Jacques Thouron,Artist,After, ,,9999,,,,,,,,,,,,,,Ivory,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
469,False,False,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Jacques Thouron,Artist,After, ,,9999,,,,,,,,,,,,,,Enamel,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
470,False,False,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,,,,,,,,,,,,,,,,,,,,Probably porcelain,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
471,False,False,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,Jean-Baptiste Nini,Maker,After,Italian,1717,1786,,,,,,,,,,,,,,Ivory,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
472,False,False,The American Wing,1883,Painting,Portrait of Benjamin Franklin,1776,1883,,,,,,,,,,,,,,,,,,,,Panel,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
473,False,False,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,,,,,,,,,,,,,,,,,,,,Ivory,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
474,False,False,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,1776,1883,,,,,,,,,,,,,,,,,,,,Oil on cardboard,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
475,False,False,The American Wing,1883,Painting,Portrait of Benjamin Franklin,1776,1883,,,,,,,,,,,,,,,,,,,,Ivory,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
482,False,False,The American Wing,1883,Painting,Portrait of Benjamin Franklin,1776,1883,,,,,,,,,,,,,,,,,,,,Oil on wood,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
483,False,False,The American Wing,1883,Painting,Portrait of Benjamin Franklin,1776,1883,,,,,,,,,,,,,,,,,,,,Panel,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
484,False,False,The American Wing,1883,Painting,Medallion of Benjamin Franklin,1776,1883,,,,,,,,,,,,,,,,,,,,Oil on wood,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
485,False,False,The American Wing,1883,Painting,Portrait of Benjamin Franklin,1776,1883,H. Sanford,Artist,Possibly after, ,1783,1822,,,,,,,,,,,,,,Panel,Made in,,,,France,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
486,False,False,The American Wing,1883,Painting,Portrait of Benjamin Franklin,1790,1883,,,,,,,,,,,,,,,,,,,,Canvas,Made in,,,,China,,,,,,,"Metropolitan Museum of Art, New York, NY",18th Century CE,1701,1800,1,1
