artist_id,artist_name
1,Louis Benjamin Huber Defeuille
2,Jacques Thouron
3,Jean-Baptiste Nini
4,H. Sanford
5,William P. Babcock
6,Gilbert Stuart
7,Charles Caryl Coleman
8,Henry Inman
9,John La Farge
10,Albert Pinkham Ryder
11,Edwin Austin Abbey
12,Francis Alexander
13,Henry Alexander
14,John White Alexander
15,Washington Allston
16,Ezra Ames
17,Joseph Alexander Ames
18,Ambrose Andrews
19,Thomas Anshutz
20,John Woodhouse Audubon
21,Joseph Badger
22,G. Baker
23,George Augustus Baker Jr.
24,W. H. Bean
25,Cecilia Beaux
26,J. Carroll Beckwith
27,Henry Benbridge
28,Frank W. Benson
29,Albert Bierstadt
30,George Caleb Bingham
31,Joseph Blackburn
32,Ralph Albert Blakelock
33,Edwin Howland Blashfield
34,Jacob D. Blondel
35,Robert Frederick Blum
36,David Gilmour Blythe
37,Otto Boetticher
38,George H. Bogert
39,Frank Myers Boggs
40,William Bradford
41,John Bradley
42,Alfred Thompson Bricher
43,George Loring Brown
44,John George Brown
45,Mather Brown
46,Matilda Auchincloss Brownell
47,George de Forest Brush
48,William Gedney Bunce
49,Dennis Miller Bunker
50,Bryson Burroughs
51,Howard Russell Butler
52,Theodore Earl Butler
53,James H. Cafferty
54,John Carlin
55,Emil Carlsen
56,John William Casilear
57,Mary Cassatt
58,Charles Robert Leslie
59,Francis William Edmonds
60,Jefferson D. Chalfant
61,Thomas Chambers
62,Robert Winthrop Chanler
63,John Gadsby Chapman
64,Alonzo Chappel
65,William P. Chappel
66,William Merritt Chase
67,George Chinnery
68,Frederic Edwin Church
69,Edmund C. Coates
70,William Coffin
71,Thomas Cole
72,Alfred Q. Collins
73,Samuel Colman
74,Charlotte Buell Coman
75,Nelson Cook
76,Colin Campbell Cooper
77,Alfred Copestick
78,John Singleton Copley
79,Eanger Irving Couse
80,Kenyon Cox
81,Caroline Cranch
82,Bruce Crane
83,Jasper Francis Cropsey
84,Johan Mengels Culverhouse
85,Léon Dabo
86,Elliott Daingerfield
87,William P. W. Dana
88,William Dannat
89,Arthur B. Davies
90,Charles Harold Davis
91,Joseph Decker
92,Louis Paul Dessar
93,Charles Melville Dewey
94,Thomas Wilmer Dewing
95,William de Leftwich Dodge
