object_id,title,object_begin_date,object_end_date,department,century,accessionyear
466,Plaque Portrait of Benjamin Franklin,1800,1883,The American Wing,18th Century CE,1883
467,Plaque Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
468,Plaque Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
469,Plaque Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
470,Plaque Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
471,Plaque Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
472,Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
473,Plaque Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
474,Plaque Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
475,Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
482,Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
483,Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
484,Medallion of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
485,Portrait of Benjamin Franklin,1776,1883,The American Wing,18th Century CE,1883
486,Portrait of Benjamin Franklin,1790,1883,The American Wing,18th Century CE,1883
500,Portrait of Benjamin Franklin,1800,1883,The American Wing,18th Century CE,1883
3926,Panel of George Washington,1846,1883,The American Wing,19th Century CE,1883
3963,Plaque of George Washington,1800,1830,The American Wing,18th Century CE,1883
3970,Plaque of George Washington,1776,1830,The American Wing,18th Century CE,1883
3971,Portrait of George Washington,1800,1830,The American Wing,18th Century CE,1883
5223,Apple Blossoms,1889,1889,The American Wing,19th Century CE,1996
5896,Plaque of George Washington,1770,1800,The American Wing,18th Century CE,1883
7499,Janet Halleck Drake,1825,1825,The American Wing,19th Century CE,1996
10028,Orange Branch,1880,1883,The American Wing,19th Century CE,1966
10035,Pasture at Evening,1913,1931,The American Wing,20th Century CE,1967
10049,"""King Lear,"" Act I, Scene I",1898,1898,The American Wing,19th Century CE,1913
10061,"Leete Farm, West Claremont, New Hampshire",1819,1822,The American Wing,19th Century CE,1972
10062,In the Laboratory,1882,1887,The American Wing,19th Century CE,1939
10065,Repose,1895,1895,The American Wing,19th Century CE,1980
10066,The Ring,1911,1911,The American Wing,20th Century CE,1912
10067,Study in Black and Green,1905,1906,The American Wing,20th Century CE,1908
10068,Walt Whitman,1889,1889,The American Wing,19th Century CE,1891
10070,The Spanish Girl in Reverie,1831,1831,The American Wing,19th Century CE,1901
10072,A Study from Life [and] Study for Angel Releasing Saint Peter from Prison,1812,1815,The American Wing,19th Century CE,1956
10075,Philip Van Cortlandt,1807,1810,The American Wing,19th Century CE,1940
10076,James Topham Brady,1869,1869,The American Wing,19th Century CE,1910
10077,The Children of Nathan Starr,1835,1835,The American Wing,19th Century CE,1987
10080,The Way They Live,1879,1879,The American Wing,19th Century CE,1940
10081,Hudson's Bay Lemming,1846,1846,The American Wing,19th Century CE,1963
10082,Benjamin Franklin,1873,1876,The American Wing,19th Century CE,1883
10083,Portrait of Benjamin Franklin,1867,1880,The American Wing,19th Century CE,1883
10084,Portrait of the Marquis de Lafayette,1850,1880,The American Wing,19th Century CE,1883
10085,James Badger,1760,1760,The American Wing,18th Century CE,1929
10087,New York Harbor with Brooklyn Bridge,1870,1879,The American Wing,19th Century CE,1977
10092,John F. Kensett,1875,1875,The American Wing,19th Century CE,1881
10093,Mrs. William Loring Andrews,1861,1863,The American Wing,19th Century CE,1940
10116,American Eagle on Red Scroll,1860,1900,The American Wing,19th Century CE,1980
10126,Ernesta,1914,1914,The American Wing,20th Century CE,1915
10127,Ernesta (Child with Nurse),1894,1894,The American Wing,19th Century CE,1965
10128,Mr. and Mrs. Anson Phelps Stokes,1898,1898,The American Wing,19th Century CE,1965
10131,Lake of Orta,1910,1911,The American Wing,20th Century CE,1967
10136,Mrs. Benjamin Simons,1768,1776,The American Wing,18th Century CE,1929
10138,Portrait of a Gentleman,1767,1772,The American Wing,18th Century CE,1969
10142,Children in Woods,1905,1905,The American Wing,20th Century CE,1967
10147,Portrait of a Lady,1901,1901,The American Wing,20th Century CE,1906
10148,Two Boys,1926,1926,The American Wing,20th Century CE,1927
10149,Canadian Rockies (Lake Louise),1886,1889,The American Wing,19th Century CE,1982
10150,"Merced River, Yosemite Valley",1866,1866,The American Wing,19th Century CE,1909
10151,Mountain Scene,1880,1890,The American Wing,19th Century CE,1979
10152,"Nevada Falls, Yosemite",1872,1873,The American Wing,19th Century CE,1979
10154,"The Rocky Mountains, Lander's Peak",1863,1863,The American Wing,19th Century CE,1907
10155,Sea Cove,1877,1890,The American Wing,19th Century CE,1979
10156,Study of a Tree,1861,1864,The American Wing,19th Century CE,1976
10158,Sunrise on the Matterhorn,1876,1885,The American Wing,19th Century CE,1966
10159,Fur Traders Descending the Missouri,1845,1845,The American Wing,19th Century CE,1933
10174,Mary Sylvester,1754,1754,The American Wing,18th Century CE,1916
10175,Mrs. David Chesebrough,1754,1754,The American Wing,18th Century CE,1916
10176,Mrs. Samuel Cutts,1759,1763,The American Wing,18th Century CE,1979
10177,Samuel Cutts,1759,1763,The American Wing,18th Century CE,1979
10178,The Boulder and the Flume,1878,1878,The American Wing,19th Century CE,1974
10180,An Indian Encampment,1877,1900,The American Wing,19th Century CE,1906
10181,Landscape,1885,1895,The American Wing,19th Century CE,1929
10182,The Pipe Dance,1877,1900,The American Wing,19th Century CE,1909
10183,"A Waterfall, Moonlight",1885,1886,The American Wing,19th Century CE,1952
10184,"Design for the Washington Centennial Celebration, Souvenir",1889,1889,The American Wing,19th Century CE,1890
10185,Luigi Palma di Cesnola,1865,1865,The American Wing,19th Century CE,1967
10186,The Ameya,1892,1893,The American Wing,19th Century CE,1904
10190,"View from the Artist's Window, Grove Street",1897,1900,The American Wing,19th Century CE,1976
10191,Corn Husking,1860,1864,The American Wing,19th Century CE,1957
10194,"Seventh Regiment on Review, Washington Square, New York",1851,1851,The American Wing,19th Century CE,1954
10195,"Chale, Isle of Wight, Looking Towards the Needles",1900,1900,The American Wing,19th Century CE,1906
10196,September Evening,1898,1898,The American Wing,19th Century CE,1906
10198,On the Thames,1883,1883,The American Wing,19th Century CE,1909
10207,An Arctic Summer: Boring Through the Pack in Melville Bay,1871,1871,The American Wing,19th Century CE,1982
