"number_lang","gender","age","education","income","cog_flex_errors"
3,1,71,3,5,12
5,1,72,4,7,15
5,1,72,6,8,12
4,2,77,4,9,10
4,1,67,6,8,8
5,1,75,5,7,9
5,1,78,6,8,19
5,1,67,6,8,11
2,1,78,4,5,15
4,2,69,6,8,22
4,1,70,2,8,20
4,1,71,4,8,13
4,2,70,6,8,19
5,1,67,6,7,8
5,1,83,5,8,14
3,1,66,4,8,7
5,1,80,6,8,9
4,2,75,4,4,10
5,2,68,6,8,8
5,1,77,6,8,8
5,2,66,6,8,7
5,1,74,6,7,21
5,1,68,4,5,12
5,1,72,6,8,9
5,1,67,6,8,16
5,1,70,6,8,10
2,1,70,3,6,20
5,1,68,4,6,24
3,2,71,4,5,20
4,2,75,6,7,8
4,2,71,6,6,19
5,1,65,6,9,7
5,1,66,4,9,12
5,1,68,6,8,15
5,2,69,5,8,16
1,1,71,4,8,26
4,1,73,4,5,14
4,2,80,4,5,20
5,1,72,6,6,16
4,2,70,2,5,15
5,1,69,5,8,19
2,2,69,6,6,10
5,1,70,4,7,20
2,2,77,4,9,16
5,2,73,4,9,15
3,1,72,4,7,14
5,1,69,6,7,13
5,2,72,6,8,11
4,1,66,4,6,9
2,2,76,4,5,12
5,2,71,4,5,10
3,2,65,6,6,7
4,1,77,4,8,9
4,2,79,4,7,18
5,1,68,6,7,11
4,1,75,5,8,6
3,1,71,3,6,28
4,1,82,6,7,8
5,1,68,6,6,18
5,1,68,5,8,18
5,1,77,6,7,7
4,2,77,4,7,18
5,1,78,6,8,6
3,2,71,6,5,12
3,1,70,4,6,15
4,1,75,6,8,14
3,2,68,4,4,7
5,1,76,5,8,20
5,1,70,5,9,14
5,1,68,6,8,13
4,2,69,5,8,12
5,1,65,4,7,7
5,2,67,6,7,14
2,1,65,6,8,10
5,2,65,4,7,14
3,1,68,6,7,10
2,2,66,4,4,14
5,1,69,6,7,16
4,2,65,6,6,9
5,1,87,6,8,13
5,1,67,4,8,11
5,1,77,4,7,19
5,1,71,6,8,8
4,1,81,6,8,10
4,1,71,4,6,24
5,2,67,6,9,7
4,1,66,4,8,9
4,2,73,4,5,14
3,1,67,2,5,22
3,2,67,4,6,22
